T,LSS,S-LSS,SRS-LSS,SRS-LSS (WarmUp),KS,UKS
30000,0.030099189730316268,0.0017558398428179738,,0.00013702599130383615,0.010611755823492839,0.033302689326794234
40000,0.023117682366207207,0.001711623249144041,,0.00010436905041259175,0.007715298780049846,0.025172398044505967
50000,0.01808993768238492,0.001605464935071409,8.72970866065709e-05,8.416564497769017e-05,0.0061805683238447175,0.020037132749740862
60000,0.015200707810636807,0.00157028157731762,7.301291975026835e-05,6.837122770980938e-05,0.005301851022729909,0.016596016532669886
70000,0.012883625812844813,0.001488690436065611,6.177328860054924e-05,5.8941147786738214e-05,0.004455102742243323,0.014049286183275195
80000,0.011164895398639846,0.0013957159458245923,5.420075692720757e-05,5.08273791287299e-05,0.0039059059852175693,0.01254304019290333
100000,0.009004116207546549,0.0012098522337918726,4.253563391896574e-05,4.184811683264328e-05,0.0031201402611321545,0.009999321457086279
