T,LSS,S-LSS,SRS-LSS,SRS-LSS (WarmUp),KS,UKS
10000,0.0003063001773917636,0.0010057879626126864,5.6045404215983374e-05,5.80069933115083e-05,3.4060276560041734e-06,0.0003048389900752875
15000,0.00019145812265951247,0.0007120644574789819,3.690648120353164e-05,3.801324639741491e-05,2.3404403188730945e-06,0.0001899908836433936
20000,0.00014408647221125196,0.0005320689111190346,2.7559163094552954e-05,2.628472627443501e-05,1.8278616589599987e-06,0.00014930567504689652
25000,0.00011790637050106546,0.0004046590489017236,2.2750963517416407e-05,2.1612422406202548e-05,1.3737342799168103e-06,0.00011680018253750064
30000,9.714152126934335e-05,0.0003500013370597395,1.8598540835336623e-05,1.90071716168557e-05,1.1184080504990904e-06,9.648136777171743e-05
40000,7.131931392670226e-05,0.0002534937872909761,1.3695674647030575e-05,1.4126918227730679e-05,8.639073783732166e-07,7.655398658904395e-05
50000,5.699233925166568e-05,0.000201184098545616,1.1479320634403918e-05,1.1000639579165445e-05,6.935149368623376e-07,5.622035860236337e-05
