Algorithm,MinAbsPlayerError,MeanAbsPlayerError,MaxAbsPlayerError,MeanMinAbsError,MeanMeanAbsError,MeanMaxAbsError,MinMeanSquaredError,MeanMeanSquaredError,MaxMeanSquaredError,GlobalMinAbsError,GlobalMaxAbsError
LSS,0.0002048121742543995,0.10303527882728343,0.5176726345487347,0.0016504884676601162,0.10763049821541171,0.370759321171381,0.011495133764627512,0.018205489430710323,0.02828577963738546,6.463427852099191e-07,0.6109123470925031
UKS,2.216932781200047e-05,0.11586942447884244,0.5232180992619087,0.0017369193643976563,0.11276315716143648,0.3874690289312342,0.012571511345731333,0.019932763863358224,0.03097285193123438,6.370696346791327e-06,0.628228646770667
S-LSS,5.429467124229946e-05,0.042407524349642144,0.20902800310644862,0.0004803191912571391,0.029778600392180703,0.12253858529657373,0.0008824446052203516,0.0016039065707123632,0.0027384847288933816,9.903633450131233e-08,0.2211906302079731
