Algorithm,MinAbsPlayerError,MeanAbsPlayerError,MaxAbsPlayerError,MeanMinAbsError,MeanMeanAbsError,MeanMaxAbsError,MinMeanSquaredError,MeanMeanSquaredError,MaxMeanSquaredError,GlobalMinAbsError,GlobalMaxAbsError
LSS,1.9003137278501142e-05,0.00739326307140958,0.0323361711557336,0.00022771012568173282,0.0075120804958383495,0.023497876277371103,3.916885298599698e-05,8.863815906813751e-05,0.00014578354272688887,7.605877890004553e-08,0.039272794532680906
UKS,1.4803898087199091e-05,0.00750406631366676,0.034335326000493,0.00024164123278547748,0.007506359430982917,0.02351480084765747,4.6873038885804214e-05,8.830413835739093e-05,0.00015923245401158807,7.945960740080027e-08,0.0386960735478503
S-LSS,4.138808324800208e-06,0.005818497449260182,0.025015341384447304,0.00018936152452519062,0.006011929960808715,0.018934719167131974,2.8036872511460285e-05,5.671415774965596e-05,9.57153756914561e-05,1.601322660998994e-07,0.0339806247141284
