Algorithm,PlayerAbs_Min,PlayerAbs_Mean,PlayerAbs_Max,MinAbs_Mean,MeanAbs_Mean,MaxAbs_Mean,MaxAbs_Min,MaxAbs_Max,MaxAbs_Std,MaxAbs_CV,MaxAbs_IQR,MaxAbs_Lower95,MaxAbs_Upper95,MSE_Mean,MSE_Min,MSE_Max,MSE_Std,MSE_CV,MSE_IQR,MSE_Lower95,MSE_Upper95
LSS,0.0002048121742543995,0.10303527882728343,0.5176726345487347,0.0016504884676601162,0.10763049821541171,0.370759321171381,0.24443293747503297,0.6109123470925031,0.0555843999204597,0.1499204382639545,0.07052855906372962,0.28292712786705554,0.506908422970943,0.018205489430710323,0.011495133764627512,0.02828577963738546,0.002604001412775036,0.14303385924810239,0.003609480776595994,0.013494158814347937,0.023774348792228773
S-LSS,5.429467124229946e-05,0.042407524349642144,0.20902800310644862,0.0004803191912571391,0.029778600392180703,0.12253858529657373,0.07899501878936832,0.2211906302079731,0.020837524213643124,0.17004867620440658,0.02525446244485542,0.09019412522791202,0.1718290401538327,0.0016039065707123632,0.0008824446052203516,0.0027384847288933816,0.00026294049727569797,0.16393753980253034,0.0003364161129962794,0.0011280905165547616,0.002160467479462957
SRS-LSS (WarmUp),1.3742432168499519e-05,0.01012274995150265,0.0498253646179571,0.00010025220338061883,0.006691368649264614,0.030172988389570683,0.016374638335349603,0.0606941451124376,0.00562323123859395,0.18636640050335965,0.007050527071225235,0.02121015248133265,0.04332011912237087,8.35903214441941e-05,4.467461271600145e-05,0.0001317593284497275,1.4329082265180165e-05,0.171420351275314,1.9410489054411394e-05,5.8732615221819384e-05,0.00011444570018970936
KS,1.1702903647299936e-05,0.06177045285824431,0.2848348293132636,0.0009538985337913999,0.06323086893092429,0.2169276916041195,0.141261123795032,0.3444384427982397,0.03152583192596832,0.14532875767424447,0.03896313089104897,0.16433558402881482,0.2939917149643411,0.006272792784898653,0.003886375530059052,0.009648340772547453,0.0008500752520998536,0.13551782774434307,0.001149405347204445,0.004746778798835244,0.008065576977559746
UKS,2.216932781200047e-05,0.11586942447884244,0.5232180992619087,0.0017369193643976563,0.11276315716143648,0.3874690289312342,0.2626116384244474,0.628228646770667,0.05643375673146186,0.14564714213965577,0.07506687848500992,0.29678532125267065,0.5119015980042677,0.019932763863358224,0.012571511345731333,0.03097285193123438,0.0028299458826998086,0.1419745852657197,0.003623782992094697,0.014797188157360041,0.02593416788136225
