T,LSS,S-LSS,SRS-LSS,SRS-LSS (WarmUp),KS,UKS
10000,1.2189585601496946,2.501567651559237,0.15309550577883818,0.150040211734774,0.025203362256095957,1.2047560911893163
15000,0.8108518715843108,1.626579217110719,0.09778343896739042,0.10112886014924834,0.017115738414984875,0.7345713256197133
20000,0.6079812268943213,1.2499299796948804,0.07212662050641365,0.07307714891603226,0.013824589401948292,0.575728317246966
25000,0.49361496618880507,1.070457986363246,0.05966995387236416,0.05794538171535318,0.011459278210477496,0.45895211420302123
30000,0.4018744804716392,0.8634247034092568,0.04996665823581294,0.053537237309767456,0.009299435886470616,0.3820901611987913
40000,0.3039787887118577,0.6215585211070638,0.03684175615770232,0.037529120382947624,0.0067675666444011705,0.26843965661799474
50000,0.25516734390589607,0.4995533490349631,0.031098317303713274,0.02840969644653521,0.005202045067537551,0.23315214501096204
