Algorithm,PlayerAbs_Min,PlayerAbs_Mean,PlayerAbs_Max,MinAbs_Mean,MeanAbs_Mean,MaxAbs_Mean,MaxAbs_Min,MaxAbs_Max,MaxAbs_Std,MaxAbs_CV,MaxAbs_IQR,MaxAbs_Lower95,MaxAbs_Upper95,MSE_Mean,MSE_Min,MSE_Max,MSE_Std,MSE_CV,MSE_IQR,MSE_Lower95,MSE_Upper95
LSS,1.9003137278501142e-05,0.00739326307140958,0.0323361711557336,0.00022771012568173282,0.0075120804958383495,0.023497876277371103,0.013430431936278601,0.039272794532680906,0.004001858511350988,0.17030724241257722,0.0053576360720101746,0.016906353237182953,0.032493296285426264,8.863815906813751e-05,3.916885298599698e-05,0.00014578354272688887,1.739473263042071e-05,0.19624429041953714,2.3570129752193886e-05,5.775774554420387e-05,0.00012557392077006281
S-LSS,4.138808324800208e-06,0.005818497449260182,0.025015341384447304,0.00018936152452519062,0.006011929960808715,0.018934719167131974,0.0102292411085936,0.0339806247141284,0.0032955963897620963,0.17405044989961038,0.00421536031980755,0.013717723893576447,0.0262780331994546,5.671415774965596e-05,2.8036872511460285e-05,9.57153756914561e-05,1.1471987285522673e-05,0.20227731029986537,1.4526830349423181e-05,3.724012832922628e-05,8.196314166674085e-05
SRS-LSS (WarmUp),9.792446026002377e-07,0.0008943539311920822,0.0037404911137299025,2.7628000248726502e-05,0.000878072972159012,0.0027686591640282555,0.0016753945197278998,0.005099641022528202,0.00048150793171597043,0.17391376229040825,0.0006142097044048726,0.001982324351229654,0.0038955083498157985,1.2117056336216317e-06,6.014421790878223e-07,2.0603542733691207e-06,2.4507968992185577e-07,0.20226008951476457,3.2428916653707044e-07,7.864439236399035e-07,1.747909559952313e-06
KS,1.245411467201002e-06,0.0030516242513367567,0.011980428102687499,9.0855295829454e-05,0.003062428124256272,0.009610204255644149,0.005599135843297598,0.01689343048903,0.001633954110206815,0.17002282852075498,0.0020304507747452207,0.006876841968023857,0.013487734870242471,1.4746773893529647e-05,6.519270129752431e-06,3.18127490375176e-05,3.0657034838359514e-06,0.20788977344943707,4.084063652384662e-06,9.44155630820006e-06,2.1383113812803222e-05
UKS,1.4803898087199091e-05,0.00750406631366676,0.034335326000493,0.00024164123278547748,0.007506359430982917,0.02351480084765747,0.0144344315178703,0.0386960735478503,0.0039902361733637004,0.16969040899877344,0.005140250169311727,0.016609020904357487,0.03209471298199927,8.830413835739093e-05,4.6873038885804214e-05,0.00015923245401158807,1.7413182195024405e-05,0.1971955394043766,2.375835524823877e-05,5.780414514268923e-05,0.00012404969498882194
