T,LSS,S-LSS,SRS-LSS,SRS-LSS (WarmUp),KS,UKS
10000,0.0015277181138706915,0.002366234045267705,0.0002232407688240004,0.00021271187303457516,1.612071999680643e-05,0.0014561463523512749
15000,0.001015295857137236,0.0016282799321725475,0.00015624160507495823,0.0001521191798904251,1.1479008465478149e-05,0.0009770906450358905
20000,0.0007947059621717636,0.0013153984979053324,0.00011799801835370995,0.00011785151540280317,8.084285138025302e-06,0.000743252770681436
25000,0.0006628594617353078,0.0009546529428533828,9.78397694765179e-05,9.828763334670432e-05,7.050833844424623e-06,0.0006049618631955243
30000,0.0004976971509166016,0.0008244248894528891,7.71050883428808e-05,8.190323625967882e-05,5.55908465930428e-06,0.0004985282835629105
40000,0.00037186593028978166,0.0006009869090068561,5.80966093912328e-05,5.8688078390075516e-05,4.361440562115708e-06,0.0003888529885767442
50000,0.00032082728713365207,0.0004640261643468663,4.52752518220835e-05,4.651803333884384e-05,3.485646462949919e-06,0.0003117607250235801
