T,LSS,S-LSS,SRS-LSS,SRS-LSS (WarmUp),KS,UKS
100000,5.634614041824784e-05,7.133543599753943e-05,,5.414958715319366e-07,9.264748054829968e-06,5.479004918878983e-05
150000,3.654645276772692e-05,5.07565465153979e-05,3.571413578103108e-07,3.5772178547155353e-07,6.091643537173596e-06,3.693030726299193e-05
200000,2.8020330528940402e-05,3.82885309338243e-05,2.7193326439721754e-07,2.6995385377082413e-07,4.692906676841401e-06,2.7849927795607093e-05
250000,2.2077365747476578e-05,3.125583471089855e-05,2.1748073618458053e-07,2.19428290936354e-07,3.7673448586528225e-06,2.2154903131775696e-05
300000,1.8185891812685365e-05,2.5411309315322173e-05,1.782235254063894e-07,1.7712736444034966e-07,3.0765988418530522e-06,1.8600499656652006e-05
