T,LSS,S-LSS,SRS-LSS,SRS-LSS (WarmUp),KS,UKS
30000,0.0001496950621766265,9.163332813230585e-05,2.0318484026718367e-06,2.0282285308906846e-06,2.517794003201295e-05,0.00014290714561048328
40000,0.0001117921672385059,7.155854010509176e-05,1.5114575260520037e-06,1.5039878711145412e-06,1.874277590020511e-05,0.00011156236042499917
50000,8.851626933007547e-05,5.53135316041078e-05,1.1935087949724834e-06,1.1979494718930093e-06,1.4590418256419883e-05,8.80569388095424e-05
60000,7.368635743522131e-05,4.6980794953499506e-05,9.968385299423483e-07,9.84150726290949e-07,1.2452926668616304e-05,7.382206765796387e-05
70000,6.209734837811534e-05,4.150827023508018e-05,8.62685701445075e-07,8.553259454295e-07,1.0754641659385206e-05,6.321697193758543e-05
80000,5.49741041218744e-05,3.593575466595156e-05,7.416003344928677e-07,7.530433231147336e-07,9.30514014942784e-06,5.440499967227284e-05
100000,4.4073524667993895e-05,2.824561104546005e-05,6.027222618038147e-07,6.100292381061916e-07,7.49648476746054e-06,4.290011588769839e-05
