tau,LSS,S-LSS,SRS-LSS,UKS
30000,0.0001496950621766265,9.163332813230585e-05,2.035325321265012e-06,0.00014290714561048328
40000,0.0001117921672385059,7.155854010509176e-05,1.5055564848501053e-06,0.00011156236042499917
50000,8.851626933007547e-05,5.53135316041078e-05,1.1798279457299107e-06,8.80569388095424e-05
60000,7.368635743522131e-05,4.6980794953499506e-05,1.0165881106508832e-06,7.382206765796387e-05
70000,6.209734837811534e-05,4.150827023508018e-05,8.581181370052756e-07,6.321697193758543e-05
80000,5.49741041218744e-05,3.593575466595156e-05,7.563104433623592e-07,5.440499967227284e-05
100000,4.4073524667993895e-05,2.824561104546005e-05,5.822713243552552e-07,4.290011588769839e-05
