LSS,UKS,S-LSS,iteration,player_id
0.024714317760345533,0.02148351280807087,0.016370844007726593,0,0
0.029972088687954243,0.005895878230657764,0.008644827584093129,0,1
0.037691950214516,0.015570961761469299,0.020166693661724633,0,2
0.015287501515347711,0.035458633463632705,0.02208409886860352,0,3
0.010755371113234363,0.008045896793068358,0.008538166243723389,0,4
0.025133473164851747,0.023454363156911795,0.016259611465168966,0,5
0.007999237155153927,0.002670850387064938,0.012388482594039907,0,6
0.02435826202673883,0.024708540651658395,0.025896459037793917,0,7
0.026173274477561854,0.014316784266726917,0.03137815863948168,0,8
0.013351970561752325,0.02703772742758473,0.020141420659633535,0,9
0.035077863472780496,0.02452937243811909,0.025773614046527893,0,10
0.013025477934716196,0.025962718146385566,0.027703457446623503,0,11
0.025279305360845702,0.02273769030278905,0.03149926203190212,0,12
0.023476808179495406,0.02022933531332502,0.029663890436804508,0,13
0.014118192162106748,0.026141886359914435,0.027660060932975572,0,14
0.02946304859257731,0.004283364308871218,0.0181207512705428,0,15
0.030424229066645464,0.015570961761462249,0.000986474594927067,0,16
0.022453061777348633,0.00464170073593595,0.027790357551681133,0,17
0.03395008529582627,0.04011700701550491,0.03724914437888893,0,18
0.023259002613010997,-0.0014500185241923813,0.014319235092149274,0,19
0.015732670243029687,-0.0019875231647952796,0.01242128218260552,0,20
0.03259949266159633,0.024708540651653343,0.03341766396846069,0,21
0.02155098900702219,0.022379353875721264,0.020133021695409425,0,22
0.003396821921959236,0.030083587057647354,0.01058698487148968,0,23
0.026495634344816988,0.012345933917860902,0.025791123841920616,0,24
-0.007316891693376491,0.011987597490795976,-0.014268526118735636,0,25
0.0072435117348507265,0.008404233220135504,0.008480137202011129,0,26
0.017723545374788166,0.01575012997499467,0.010519436391345227,0,27
0.009242023006126384,0.01951266245919031,0.020008295559092115,0,28
0.001456594546099871,0.033129446687711395,0.02016497410424023,0,29
-0.005950841596822183,0.035100297036575634,0.025742301628637332,0,30
0.013559014986627252,0.027933568495249445,0.033480906753821316,0,31
0.014045655401387799,0.03348778311477854,0.022117066845806388,0,32
0.03517430273191892,0.03778782023957164,0.014274679258119871,0,33
0.015962191952385466,0.02685855921405328,0.023929902202816766,0,34
0.013843037380006501,-0.0028833642324607445,0.00659561498195016,0,35
0.03789492605968248,0.008941737860729437,0.03542384878730109,0,36
0.014447925210632963,0.020408503526854083,0.02192387997467682,0,37
0.01786546456911522,0.020050167099790933,0.020166422962518915,0,38
0.011507344595581413,0.023275194943387423,0.019988387930489182,0,39
0.03352009586500289,0.01879598960505552,0.025778209840598088,0,40
0.025091545004594772,0.03527946525010889,0.022071516923379164,0,41
0.012627430278090065,0.003745859668271262,0.006592284978620189,0,42
0.027420935916491748,0.04316286664556959,0.0449721014983977,0,43
0.037427050367430256,0.03581696989070954,0.010526678676470613,0,44
0.016450334686715175,0.00249168217353829,0.004737150510063959,0,45
0.020550395020122646,0.03545863346364303,0.018176129615395276,0,46
0.016683350880441143,0.016108466402059346,0.020011543728692516,0,47
0.030927293067724775,0.028471073135849956,0.03539278923306011,0,48
0.01686363534311457,0.011987597490795032,0.01820917942632816,0,49
0.01871406801389973,0.00501795398437313,0.026974591257409752,1,0
0.006688970157894589,0.008422150041474702,0.002225573218917365,1,1
0.036142349801781666,0.024009784618881203,0.034582383075728806,1,2
0.025830414221216645,0.01953057928053384,0.023113269328731256,1,3
0.010045844145297501,0.009676327536220608,0.009804227508098506,1,4
0.022291307671623465,0.0010762532866186447,0.015562261192209714,1,5
-0.010175103438634113,0.027593148889529545,0.00978258248645325,1,6
0.0241849443766736,0.012184682525688884,0.023216865567040834,1,7
0.013669442540740696,0.008601318255019058,0.023257819695399196,1,8
0.01597661684894018,0.0120055143121508,0.023175206446433894,1,9
0.03123247168446263,0.022218102483540864,0.03267331491479464,1,10
0.004544075517985795,0.021322261415876592,0.021243749959212632,1,11
0.02042667562280443,0.021322261415876426,0.013589209582554496,1,12
0.010706393819171692,0.02777231710307218,0.013621927337389206,1,13
0.019392841428628654,0.048555829872914374,0.02123118584954309,1,14
0.026233807275764357,0.019172242853478266,0.03095838524120431,1,15
0.01956956624875744,0.01863473821288006,0.02124029144416273,1,16
0.004972635556734434,0.013438860020415222,0.02703878825424999,1,17
0.04682131277556315,0.03404320457672966,0.02893350671470829,1,18
0.03178605309288741,0.01827640178580983,0.019358873641692753,1,19
-0.0019448755486929782,0.004122112916686099,0.013491879376528626,1,20
0.018727357558054478,0.012901355379816848,0.028987977481322424,1,21
0.014362996865725371,0.002330430781358639,0.007995487500422893,1,22
0.015406497637183885,0.006988804333221438,0.026997973672096887,1,23
0.025496325549115375,0.020963924988807392,0.015504028652133517,1,24
0.01733591368385549,0.011109673244482865,0.007976407136102814,1,25
0.024177200466685447,0.02150142962941043,0.007674758564133466,1,26
0.025160794190295363,0.0035846082760916664,0.002177687381557547,1,27
0.020398170867749678,0.005913795052022414,0.013712114927576291,1,28
0.015589833415870044,0.015947215009880195,0.02128118521876443,1,29
0.021710924850823207,0.008422150041486193,0.01730096989614527,1,30
0.015097755059744124,0.045689138456388306,0.02127180736041634,1,31
0.022498548477470345,0.027951485316603075,0.03839002574020123,1,32
0.025780088982872856,0.03762656884739246,0.03073622922957453,1,33
0.020553242561434745,0.04138910133159471,0.03274425531654801,1,34
0.020440342618054167,0.01827640178580775,-0.003537512667290077,1,35
0.008408933555533606,0.01702222429107661,0.04434666631551076,1,36
0.03295207177980576,0.008422150041485443,0.025031750457738422,1,37
0.021459619719265417,0.014334701088082852,0.02877217669816501,1,38
0.0057177452271807636,0.01720139250461264,0.021208839480067354,1,39
0.029759279861453356,0.0141555328745461,0.01939150799827427,1,40
0.02588196316069815,0.04318078346692192,0.027058673841492187,1,41
0.016791887680902763,0.009317991109152629,0.009808491246070083,1,42
0.02397908880082797,0.058947586257842466,0.04230885738114987,1,43
0.03831810010515867,0.03941825098272647,0.013668696372567624,1,44
0.022166680818132597,0.02185976605647469,-0.01695702163973012,1,45
0.016855654177239887,0.03655155956619552,0.019351381134199208,1,46
0.01711854566883379,0.026159803181270758,0.01752389281830169,1,47
0.029501506713948782,0.040672428477459555,0.02494075764462922,1,48
0.03124311813256914,-0.004836297759969188,0.019256042749387525,1,49
0.01784495210891341,0.007357890853114779,0.019840115750074716,2,0
0.021126731040001952,0.020258002227477506,0.008264980653647669,2,1
0.02781207859123271,0.020795506868096197,0.035161055059423685,2,2
0.016376832059220563,0.019003824732745644,0.008425364779557576,2,3
0.03615024359502221,0.010941255123764732,0.019676584688374188,2,4
0.03613855725907142,0.02706639434174163,0.027510768978384448,2,5
0.010004839851790234,0.01040375048315717,0.01588802395274369,2,6
0.014599254171388819,0.040145673929676995,0.021693844881686797,2,7
0.021921642866093254,0.00986624584256296,0.014139217203936738,2,8
0.020346412147844526,0.01129959155083024,0.017806031914926468,2,9
0.03942156212597618,0.030112253971812053,0.027408380818340294,2,10
0.013449896266632223,0.010941255123763205,0.03293289465521143,2,11
0.030917652125681493,0.04032484214320581,0.0352695576679265,2,12
0.007476030393908664,0.019182992946291583,0.014181208380640964,2,13
0.03161695066309303,0.03853316000786883,0.023697193340860956,2,14
0.045618165481648945,0.026349721487617994,0.02166760406597268,2,15
-9.720624549850193e-06,0.007895395493700857,0.004440553662869551,2,16
0.029171919890633308,0.018645488305688962,0.01620645208382676,2,17
0.03219122692891389,0.037637318940205666,0.031330542462618904,2,18
0.00865095590816844,0.010582918696694393,0.03126173443141944,2,19
0.011219731713152737,0.014166282967355448,0.008377478942198646,2,20
0.0030127137704492857,0.03423312288307656,0.021711726610095017,2,21
0.024162394267689295,0.013807946540293603,0.01982254459779087,2,22
-3.072656726411362e-05,0.02724556255528182,0.012159352393258605,2,23
